2025-03-27 04:33:51.800221: Волк (7, 36) съел Олень на (7, 37). Голод: 0
2025-03-27 04:33:51.805226: Волк (16, 42) съел Олень на (16, 43). Голод: 0
2025-03-27 04:33:51.814225: Волк (2, 23) съел Олень на (2, 23). Голод: 0
2025-03-27 04:33:51.821264: Волк (20, 46) съел Олень на (20, 47). Голод: 0
2025-03-27 04:33:51.829222: Волк (37, 23) съел Олень на (38, 24). Голод: 0
2025-03-27 04:33:51.836566: Волк (37, 18) съел Олень на (36, 19). Голод: 0
2025-03-27 04:33:51.857742: Волк (31, 6) съел Олень на (31, 7). Голод: 0
2025-03-27 04:33:51.857742: Волк (46, 33) съел Олень на (46, 32). Голод: 0
2025-03-27 04:33:51.866852: Волк (14, 18) съел Олень на (13, 18). Голод: 0
2025-03-27 04:33:51.876725: Волк (19, 14) съел Олень на (20, 13). Голод: 0
2025-03-27 04:33:51.885722: Волк (16, 10) съел Олень на (15, 11). Голод: 0
2025-03-27 04:33:51.894722: Волк (19, 44) съел Олень на (18, 44). Голод: 0
2025-03-27 04:33:51.903721: Волк (10, 30) съел Олень на (11, 29). Голод: 0
2025-03-27 04:33:51.911855: Волк (22, 19) съел Олень на (21, 19). Голод: 0
2025-03-27 04:33:51.919853: Волк (28, 20) съел Олень на (27, 21). Голод: 0
2025-03-27 04:33:51.928854: Волк (5, 29) съел Олень на (6, 29). Голод: 0
2025-03-27 04:33:51.936853: Волк (37, 33) съел Олень на (36, 32). Голод: 0
2025-03-27 04:33:51.944897: Волк (12, 18) съел Олень на (13, 18). Голод: 0
2025-03-27 04:33:51.953855: Волк (41, 41) съел Олень на (40, 40). Голод: 0
2025-03-27 04:33:51.961896: Волк (25, 15) съел Олень на (26, 14). Голод: 0
2025-03-27 04:33:51.969853: Волк (17, 21) съел Олень на (16, 22). Голод: 0
2025-03-27 04:33:51.978853: Волк (26, 40) съел Олень на (27, 40). Голод: 0
2025-03-27 04:33:51.988856: Волк (43, 8) съел Олень на (44, 8). Голод: 0
2025-03-27 04:33:51.999868: Волк (43, 7) съел Олень на (43, 7). Голод: 0
2025-03-27 04:33:52.009855: Волк (38, 41) съел Олень на (39, 40). Голод: 0
2025-03-27 04:33:52.020857: Волк (41, 42) съел Олень на (42, 43). Голод: 0
2025-03-27 04:33:52.029853: Волк (3, 20) съел Олень на (4, 21). Голод: 0
2025-03-27 04:33:52.040896: Волк (37, 4) съел Олень на (38, 3). Голод: 0
2025-03-27 04:33:52.053854: Волк (6, 37) съел Олень на (6, 36). Голод: 0
2025-03-27 04:33:52.064856: Волк (17, 3) съел Олень на (18, 4). Голод: 0
2025-03-27 04:33:52.074898: Волк (2, 47) съел Олень на (3, 47). Голод: 0
2025-03-27 04:33:52.086857: Волк (5, 19) съел Олень на (4, 19). Голод: 0
2025-03-27 04:33:52.096894: Волк (39, 12) съел Олень на (38, 13). Голод: 0
2025-03-27 04:33:52.106854: Волк (11, 48) съел Олень на (12, 48). Голод: 0
2025-03-27 04:33:52.115968: Волк (36, 7) съел Олень на (36, 8). Голод: 0
2025-03-27 04:33:52.124006: Волк (14, 48) съел Олень на (13, 49). Голод: 0
2025-03-27 04:33:52.132966: Волк (1, 42) съел Олень на (1, 43). Голод: 0
2025-03-27 04:33:52.141006: Волк (37, 10) съел Олень на (38, 11). Голод: 0
2025-03-27 04:33:52.150967: Волк (19, 14) съел Олень на (20, 13). Голод: 0
2025-03-27 04:33:52.159012: Волк (11, 20) съел Олень на (12, 20). Голод: 0
2025-03-27 04:33:52.170967: Волк (47, 36) съел Олень на (47, 35). Голод: 0
2025-03-27 04:33:52.179018: Волк (6, 24) съел Олень на (6, 23). Голод: 0
2025-03-27 04:33:52.188053: Волк (29, 30) съел Олень на (28, 31). Голод: 0
2025-03-27 04:33:52.199095: Волк (23, 12) съел Олень на (23, 13). Голод: 0
2025-03-27 04:33:52.208094: Волк (36, 16) съел Олень на (35, 15). Голод: 0
2025-03-27 04:33:52.218094: Волк (30, 45) съел Олень на (31, 46). Голод: 0
2025-03-27 04:33:52.228164: Волк (17, 12) съел Олень на (16, 13). Голод: 0
2025-03-27 04:33:52.237163: Волк (48, 1) съел Олень на (49, 2). Голод: 0
2025-03-27 04:33:52.246168: Волк (32, 37) съел Олень на (33, 37). Голод: 0
