2025-03-27 04:40:31.657498: Волк (7, 9) съел Олень на (6, 10). Голод: 0
2025-03-27 04:40:31.666498: Волк (3, 10) съел Олень на (2, 11). Голод: 0
2025-03-27 04:40:31.682516: Волк (7, 6) съел Олень на (8, 6). Голод: 0
2025-03-27 04:40:31.697503: Волк (19, 9) съел Олень на (18, 10). Голод: 0
2025-03-27 04:40:31.710544: Волк (15, 4) съел Олень на (16, 4). Голод: 0
2025-03-27 04:40:31.726500: Волк (19, 14) съел Олень на (18, 15). Голод: 0
2025-03-27 04:40:31.743497: Волк (3, 12) съел Олень на (4, 13). Голод: 0
2025-03-27 04:40:31.763503: Волк (0, 13) съел Олень на (0, 13). Голод: 0
2025-03-27 04:40:31.778500: Волк (14, 15) съел Олень на (14, 16). Голод: 0
2025-03-27 04:40:31.794504: Волк (16, 4) съел Олень на (16, 4). Голод: 0
2025-03-27 04:40:31.810500: Волк (9, 0) съел Олень на (8, 1). Голод: 0
2025-03-27 04:40:31.825500: Волк (18, 2) съел Олень на (19, 1). Голод: 0
2025-03-27 04:40:31.841500: Волк (8, 11) съел Олень на (8, 12). Голод: 0
2025-03-27 04:40:31.857504: Волк (13, 1) съел Олень на (13, 2). Голод: 0
2025-03-27 04:40:31.876625: Волк (2, 14) съел Олень на (2, 14). Голод: 0
2025-03-27 04:40:31.897626: Волк (10, 6) съел Олень на (9, 5). Голод: 0
2025-03-27 04:40:31.920624: Волк (15, 3) съел Олень на (16, 4). Голод: 0
2025-03-27 04:40:31.941625: Волк (8, 12) съел Олень на (8, 11). Голод: 0
2025-03-27 04:40:31.964635: Волк (18, 14) съел Олень на (17, 13). Голод: 0
2025-03-27 04:40:31.982639: Волк (13, 19) съел Олень на (12, 19). Голод: 0
2025-03-27 04:40:31.997634: Волк (18, 2) съел Олень на (18, 2). Голод: 0
2025-03-27 04:40:32.011624: Волк (10, 19) съел Олень на (9, 19). Голод: 0
2025-03-27 04:40:32.025623: Волк (7, 12) съел Олень на (8, 12). Голод: 0
2025-03-27 04:40:32.037624: Волк (2, 1) съел Олень на (2, 2). Голод: 0
2025-03-27 04:40:32.045625: Волк (12, 10) съел Олень на (12, 9). Голод: 0
2025-03-27 04:40:32.059625: Волк (16, 4) съел Олень на (16, 5). Голод: 0
2025-03-27 04:40:32.075627: Волк (12, 5) съел Олень на (11, 4). Голод: 0
2025-03-27 04:40:32.091622: Волк (5, 12) съел Олень на (4, 13). Голод: 0
2025-03-27 04:40:32.108623: Волк (1, 14) съел Олень на (2, 14). Голод: 0
2025-03-27 04:40:32.124630: Волк (15, 16) съел Олень на (14, 16). Голод: 0
2025-03-27 04:40:32.140642: Волк (17, 12) съел Олень на (17, 13). Голод: 0
2025-03-27 04:40:32.150622: Волк (14, 16) съел Олень на (14, 16). Голод: 0
2025-03-27 04:40:32.158623: Волк (14, 4) съел Олень на (14, 5). Голод: 0
2025-03-27 04:40:32.168623: Волк (14, 2) съел Олень на (13, 2). Голод: 0
2025-03-27 04:40:32.177623: Волк (16, 14) съел Олень на (17, 13). Голод: 0
2025-03-27 04:40:32.185625: Волк (9, 1) съел Олень на (10, 0). Голод: 0
2025-03-27 04:40:32.194691: Волк (18, 3) съел Олень на (18, 2). Голод: 0
2025-03-27 04:40:32.202694: Волк (2, 6) съел Олень на (3, 6). Голод: 0
2025-03-27 04:40:32.211691: Олень (14, 6) съел растение на (15, 6). Голод: 0
2025-03-27 04:40:32.219694: Олень (10, 13) съел растение на (9, 14). Голод: 0
2025-03-27 04:40:32.228695: Олень (18, 10) съел растение на (19, 10). Голод: 0
2025-03-27 04:40:32.236778: Олень (16, 4) съел растение на (15, 5). Голод: 0
2025-03-27 04:40:32.257855: Олень (4, 13) съел растение на (3, 14). Голод: 0
2025-03-27 04:40:32.258858: Олень (19, 1) съел растение на (18, 2). Голод: 0
