2025-03-27 04:36:08.075989: Волк (2, 12) съел Олень на (1, 11). Голод: 0
2025-03-27 04:36:08.080991: Волк (4, 16) съел Олень на (5, 15). Голод: 0
2025-03-27 04:36:08.088991: Волк (14, 5) съел Олень на (15, 4). Голод: 0
2025-03-27 04:36:08.095989: Волк (7, 15) съел Олень на (7, 16). Голод: 0
2025-03-27 04:36:08.102994: Волк (2, 19) съел Олень на (3, 18). Голод: 0
2025-03-27 04:36:08.110989: Волк (15, 10) съел Олень на (14, 11). Голод: 0
2025-03-27 04:36:08.117994: Волк (12, 11) съел Олень на (13, 12). Голод: 0
2025-03-27 04:36:08.125989: Волк (7, 4) съел Олень на (6, 3). Голод: 0
2025-03-27 04:36:08.134202: Волк (1, 9) съел Олень на (2, 8). Голод: 0
2025-03-27 04:36:08.142035: Волк (8, 9) съел Олень на (8, 9). Голод: 0
2025-03-27 04:36:08.148993: Волк (18, 13) съел Олень на (19, 14). Голод: 0
2025-03-27 04:36:08.157125: Волк (0, 19) съел Олень на (0, 19). Голод: 0
2025-03-27 04:36:08.164149: Волк (14, 1) съел Олень на (15, 0). Голод: 0
2025-03-27 04:36:08.173107: Волк (17, 19) съел Олень на (16, 18). Голод: 0
2025-03-27 04:36:08.181153: Волк (0, 18) съел Олень на (0, 19). Голод: 0
2025-03-27 04:36:08.189151: Волк (13, 14) съел Олень на (13, 13). Голод: 0
2025-03-27 04:36:08.198107: Волк (13, 2) съел Олень на (12, 3). Голод: 0
2025-03-27 04:36:08.206152: Волк (15, 8) съел Олень на (16, 9). Голод: 0
2025-03-27 04:36:08.214111: Волк (9, 0) съел Олень на (9, 0). Голод: 0
2025-03-27 04:36:08.223108: Волк (11, 3) съел Олень на (12, 3). Голод: 0
2025-03-27 04:36:08.231150: Волк (5, 15) съел Олень на (6, 16). Голод: 0
2025-03-27 04:36:08.240108: Волк (0, 5) съел Олень на (0, 5). Голод: 0
2025-03-27 04:36:08.249106: Волк (3, 16) съел Олень на (3, 16). Голод: 0
2025-03-27 04:36:08.257154: Волк (6, 9) съел Олень на (6, 9). Голод: 0
2025-03-27 04:36:08.270244: Волк (14, 6) съел Олень на (14, 5). Голод: 0
2025-03-27 04:36:08.279238: Волк (8, 7) съел Олень на (9, 8). Голод: 0
2025-03-27 04:36:08.287284: Волк (13, 12) съел Олень на (13, 13). Голод: 0
2025-03-27 04:36:08.295238: Волк (6, 1) съел Олень на (7, 2). Голод: 0
2025-03-27 04:36:08.304367: Волк (2, 17) съел Олень на (3, 16). Голод: 0
2025-03-27 04:36:08.312371: Волк (12, 10) съел Олень на (13, 9). Голод: 0
2025-03-27 04:36:08.320365: Волк (18, 4) съел Олень на (17, 4). Голод: 0
2025-03-27 04:36:08.329367: Волк (8, 0) съел Олень на (9, 0). Голод: 0
2025-03-27 04:36:08.337415: Волк (12, 3) съел Олень на (12, 3). Голод: 0
2025-03-27 04:36:08.346366: Волк (7, 18) съел Олень на (6, 18). Голод: 0
2025-03-27 04:36:08.354546: Волк (4, 18) съел Олень на (3, 18). Голод: 0
2025-03-27 04:36:08.362506: Волк (6, 3) съел Олень на (7, 3). Голод: 0
2025-03-27 04:36:08.371500: Волк (1, 18) съел Олень на (2, 18). Голод: 0
2025-03-27 04:36:08.379500: Волк (9, 8) съел Олень на (10, 7). Голод: 0
