2025-03-27 04:39:01.821083: Олень (11, 2) съел растение на (10, 2). Голод: 0
2025-03-27 04:39:01.830123: Олень (4, 18) съел растение на (4, 19). Голод: 0
2025-03-27 04:39:01.839079: Олень (9, 13) съел растение на (9, 13). Голод: 0
2025-03-27 04:39:01.848086: Олень (9, 15) съел растение на (8, 14). Голод: 0
2025-03-27 04:39:01.858081: Олень (1, 9) съел растение на (0, 8). Голод: 0
2025-03-27 04:39:01.867083: Олень (15, 10) съел растение на (16, 9). Голод: 0
2025-03-27 04:39:01.876121: Олень (7, 5) съел растение на (8, 6). Голод: 0
2025-03-27 04:39:01.885084: Олень (12, 11) съел растение на (11, 12). Голод: 0
2025-03-27 04:39:01.895080: Олень (17, 19) съел растение на (18, 18). Голод: 0
2025-03-27 04:39:01.904121: Олень (6, 18) съел растение на (5, 18). Голод: 0
2025-03-27 04:39:01.913078: Олень (10, 3) съел растение на (11, 2). Голод: 0
2025-03-27 04:39:01.923083: Олень (4, 3) съел растение на (5, 3). Голод: 0
2025-03-27 04:39:01.932085: Олень (5, 13) съел растение на (4, 13). Голод: 0
2025-03-27 04:39:01.941078: Олень (18, 10) съел растение на (17, 10). Голод: 0
2025-03-27 04:39:01.950078: Олень (5, 17) съел растение на (6, 18). Голод: 0
2025-03-27 04:39:01.960155: Олень (8, 4) съел растение на (7, 3). Голод: 0
2025-03-27 04:39:01.969160: Олень (9, 18) съел растение на (8, 19). Голод: 0
2025-03-27 04:39:01.978790: Олень (19, 18) съел растение на (18, 18). Голод: 0
2025-03-27 04:39:01.987925: Олень (13, 12) съел растение на (14, 11). Голод: 0
2025-03-27 04:39:01.997927: Олень (1, 0) съел растение на (2, 1). Голод: 0
2025-03-27 04:39:02.006964: Олень (14, 14) съел растение на (14, 15). Голод: 0
2025-03-27 04:39:02.016965: Олень (16, 12) съел растение на (16, 11). Голод: 0
2025-03-27 04:39:02.026495: Олень (10, 2) съел растение на (11, 2). Голод: 0
2025-03-27 04:39:02.035551: Олень (5, 18) съел растение на (4, 19). Голод: 0
2025-03-27 04:39:02.045512: Олень (18, 14) съел растение на (17, 13). Голод: 0
2025-03-27 04:39:02.054505: Олень (2, 1) съел растение на (3, 0). Голод: 0
2025-03-27 04:39:02.064550: Олень (4, 3) съел растение на (4, 2). Голод: 0
2025-03-27 04:39:02.074508: Олень (11, 8) съел растение на (11, 9). Голод: 0
2025-03-27 04:39:02.083689: Олень (8, 0) съел растение на (8, 1). Голод: 0
2025-03-27 04:39:02.093815: Олень (1, 17) съел растение на (1, 17). Голод: 0
2025-03-27 04:39:02.103772: Олень (19, 1) съел растение на (18, 2). Голод: 0
2025-03-27 04:39:02.112819: Олень (15, 4) съел растение на (15, 4). Голод: 0
2025-03-27 04:39:02.122776: Олень (9, 18) съел растение на (8, 19). Голод: 0
2025-03-27 04:39:02.131778: Олень (4, 19) съел растение на (4, 19). Голод: 0
2025-03-27 04:39:02.141908: Олень (2, 11) съел растение на (2, 11). Голод: 0
2025-03-27 04:39:02.150904: Олень (11, 0) съел растение на (10, 0). Голод: 0
2025-03-27 04:39:02.160948: Олень (10, 5) съел растение на (10, 5). Голод: 0
2025-03-27 04:39:02.170905: Олень (13, 8) съел растение на (13, 9). Голод: 0
2025-03-27 04:39:02.181905: Олень (8, 5) съел растение на (8, 6). Голод: 0
2025-03-27 04:39:02.191913: Олень (2, 1) съел растение на (3, 0). Голод: 0
2025-03-27 04:39:02.201908: Олень (12, 9) съел растение на (11, 9). Голод: 0
2025-03-27 04:39:02.210947: Олень (11, 18) съел растение на (12, 19). Голод: 0
2025-03-27 04:39:02.220910: Олень (3, 11) съел растение на (2, 11). Голод: 0
2025-03-27 04:39:02.230909: Олень (18, 19) съел растение на (17, 19). Голод: 0
2025-03-27 04:39:02.240031: Олень (5, 15) съел растение на (4, 14). Голод: 0
2025-03-27 04:39:02.249069: Олень (7, 2) съел растение на (7, 3). Голод: 0
2025-03-27 04:39:02.259031: Олень (2, 14) съел растение на (3, 13). Голод: 0
2025-03-27 04:39:02.268032: Олень (17, 19) съел растение на (18, 18). Голод: 0
2025-03-27 04:39:02.278026: Олень (10, 9) съел растение на (10, 9). Голод: 0
2025-03-27 04:39:02.287072: Олень (0, 7) съел растение на (1, 7). Голод: 0
2025-03-27 04:39:02.296026: Олень (4, 13) съел растение на (4, 13). Голод: 0
2025-03-27 04:39:02.305069: Олень (13, 11) съел растение на (14, 11). Голод: 0
2025-03-27 04:39:02.321069: Волк переместился с (6, 9) в (6, 8). Голод: 1
2025-03-27 04:39:02.326078: Волк переместился с (15, 10) в (16, 11). Голод: 1
2025-03-27 04:39:02.335071: Волк переместился с (0, 18) в (19, 18). Голод: 1
2025-03-27 04:39:02.344736: Волк переместился с (19, 6) в (18, 6). Голод: 1
2025-03-27 04:39:02.353792: Волк переместился с (11, 17) в (11, 18). Голод: 1
2025-03-27 04:39:02.362792: Волк переместился с (18, 18) в (17, 17). Голод: 1
2025-03-27 04:39:02.372889: Волк переместился с (6, 11) в (5, 11). Голод: 1
2025-03-27 04:39:02.381887: Волк переместился с (10, 11) в (10, 10). Голод: 1
2025-03-27 04:39:02.390936: Волк переместился с (5, 3) в (4, 3). Голод: 1
2025-03-27 04:39:02.399894: Волк переместился с (19, 8) в (18, 8). Голод: 1
2025-03-27 04:39:02.409889: Волк переместился с (7, 17) в (8, 18). Голод: 1
2025-03-27 04:39:02.418893: Волк переместился с (0, 6) в (19, 7). Голод: 1
2025-03-27 04:39:02.427932: Волк переместился с (10, 19) в (9, 19). Голод: 1
2025-03-27 04:39:02.437891: Волк переместился с (19, 14) в (0, 13). Голод: 1
2025-03-27 04:39:02.446893: Волк переместился с (14, 9) в (13, 8). Голод: 1
2025-03-27 04:39:02.455957: Волк переместился с (9, 1) в (10, 0). Голод: 1
2025-03-27 04:39:02.464973: Волк переместился с (7, 19) в (7, 18). Голод: 1
2025-03-27 04:39:02.474016: Волк переместился с (11, 8) в (10, 8). Голод: 1
2025-03-27 04:39:02.483967: Волк переместился с (19, 2) в (19, 3). Голод: 1
2025-03-27 04:39:02.493006: Волк переместился с (11, 6) в (10, 7). Голод: 1
2025-03-27 04:39:02.503086: Волк переместился с (2, 1) в (3, 2). Голод: 1
2025-03-27 04:39:02.513080: Волк переместился с (16, 14) в (15, 14). Голод: 1
2025-03-27 04:39:02.522080: Волк переместился с (16, 17) в (16, 18). Голод: 1
2025-03-27 04:39:02.532121: Волк переместился с (12, 19) в (11, 19). Голод: 1
2025-03-27 04:39:02.542197: Волк переместился с (6, 7) в (7, 8). Голод: 1
2025-03-27 04:39:02.552139: Волк переместился с (11, 2) в (11, 1). Голод: 1
2025-03-27 04:39:02.561149: Волк переместился с (0, 18) в (19, 17). Голод: 1
2025-03-27 04:39:02.570156: Волк переместился с (8, 12) в (8, 11). Голод: 1
2025-03-27 04:39:02.579148: Волк переместился с (11, 12) в (12, 12). Голод: 1
2025-03-27 04:39:02.588264: Волк переместился с (8, 2) в (7, 3). Голод: 1
2025-03-27 04:39:02.597264: Волк переместился с (19, 15) в (18, 16). Голод: 1
2025-03-27 04:39:02.606262: Волк переместился с (2, 10) в (1, 9). Голод: 1
2025-03-27 04:39:02.615307: Волк переместился с (14, 6) в (15, 5). Голод: 1
2025-03-27 04:39:02.624269: Волк переместился с (16, 17) в (17, 17). Голод: 1
2025-03-27 04:39:02.633310: Волк переместился с (5, 17) в (6, 17). Голод: 1
2025-03-27 04:39:02.642268: Волк переместился с (17, 4) в (18, 4). Голод: 1
2025-03-27 04:39:02.668263: Волк переместился с (5, 12) в (4, 11). Голод: 1
2025-03-27 04:39:02.694261: Волк переместился с (7, 16) в (8, 16). Голод: 1
2025-03-27 04:39:02.720268: Волк переместился с (14, 5) в (15, 5). Голод: 1
2025-03-27 04:39:02.761262: Волк переместился с (4, 9) в (4, 10). Голод: 1
2025-03-27 04:39:02.787261: Волк переместился с (7, 13) в (8, 12). Голод: 1
2025-03-27 04:39:02.828262: Волк переместился с (7, 5) в (6, 5). Голод: 1
2025-03-27 04:39:02.866262: Волк переместился с (11, 2) в (11, 1). Голод: 1
2025-03-27 04:39:02.919262: Волк переместился с (8, 16) в (7, 16). Голод: 1
2025-03-27 04:39:02.945263: Волк переместился с (8, 16) в (7, 15). Голод: 1
2025-03-27 04:39:02.971374: Олень переместился с (3, 13) в (2, 13). Голод: 1
2025-03-27 04:39:02.997365: Олень переместился с (16, 13) в (15, 13). Голод: 1
2025-03-27 04:39:03.022475: Олень переместился с (15, 5) в (16, 4). Голод: 1
2025-03-27 04:39:03.048474: Олень переместился с (5, 1) в (5, 0). Голод: 1
2025-03-27 04:39:03.074346: Олень переместился с (15, 13) в (16, 12). Голод: 1
2025-03-27 04:39:03.100368: Олень переместился с (2, 8) в (3, 8). Голод: 1
2025-03-27 04:39:03.125533: Олень переместился с (5, 8) в (4, 8). Голод: 1
2025-03-27 04:39:03.134483: Олень переместился с (17, 14) в (17, 15). Голод: 1
2025-03-27 04:39:03.144486: Олень переместился с (9, 17) в (10, 18). Голод: 1
2025-03-27 04:39:03.153484: Олень переместился с (10, 4) в (11, 4). Голод: 1
2025-03-27 04:39:03.162576: Олень переместился с (15, 0) в (16, 0). Голод: 1
2025-03-27 04:39:03.172616: Олень переместился с (10, 6) в (10, 7). Голод: 1
2025-03-27 04:39:03.181569: Олень переместился с (8, 12) в (7, 11). Голод: 1
2025-03-27 04:39:03.191573: Олень переместился с (6, 12) в (7, 12). Голод: 1
2025-03-27 04:39:03.200570: Олень переместился с (7, 10) в (6, 10). Голод: 1
2025-03-27 04:39:03.209570: Олень переместился с (18, 7) в (19, 8). Голод: 1
2025-03-27 04:39:03.218615: Олень переместился с (2, 12) в (3, 12). Голод: 1
2025-03-27 04:39:03.227614: Олень переместился с (14, 7) в (13, 7). Голод: 1
2025-03-27 04:39:03.236617: Олень переместился с (8, 12) в (9, 13). Голод: 1
2025-03-27 04:39:03.245574: Олень переместился с (1, 3) в (0, 4). Голод: 1
2025-03-27 04:39:03.253576: Олень переместился с (2, 18) в (3, 18). Голод: 1
2025-03-27 04:39:03.262576: Олень переместился с (8, 15) в (9, 14). Голод: 1
2025-03-27 04:39:03.271570: Олень переместился с (16, 3) в (15, 4). Голод: 1
2025-03-27 04:39:03.279612: Олень переместился с (19, 10) в (0, 11). Голод: 1
2025-03-27 04:39:03.288570: Олень переместился с (2, 2) в (3, 2). Голод: 1
2025-03-27 04:39:03.296611: Олень переместился с (12, 12) в (13, 11). Голод: 1
2025-03-27 04:39:03.305686: Олень переместился с (5, 2) в (5, 1). Голод: 1
2025-03-27 04:39:03.314685: Олень переместился с (1, 11) в (2, 11). Голод: 1
