2025-03-27 04:37:10.474878: Волк (4, 4) съел Олень на (4, 3). Голод: 0
2025-03-27 04:37:10.481872: Волк (1, 3) съел Олень на (2, 4). Голод: 0
2025-03-27 04:37:10.496862: Волк (19, 9) съел Олень на (19, 10). Голод: 0
2025-03-27 04:37:10.510861: Волк (19, 1) съел Олень на (18, 0). Голод: 0
2025-03-27 04:37:10.517860: Волк (15, 3) съел Олень на (16, 4). Голод: 0
2025-03-27 04:37:10.528861: Волк (13, 16) съел Олень на (12, 15). Голод: 0
2025-03-27 04:37:10.535859: Волк (8, 13) съел Олень на (8, 13). Голод: 0
2025-03-27 04:37:10.544948: Волк (9, 4) съел Олень на (8, 3). Голод: 0
2025-03-27 04:37:10.554023: Волк (9, 0) съел Олень на (10, 0). Голод: 0
2025-03-27 04:37:10.562022: Волк (10, 2) съел Олень на (11, 1). Голод: 0
2025-03-27 04:37:10.570023: Волк (6, 9) съел Олень на (5, 10). Голод: 0
2025-03-27 04:37:10.577023: Волк (8, 2) съел Олень на (7, 1). Голод: 0
2025-03-27 04:37:10.585023: Волк (0, 14) съел Олень на (0, 13). Голод: 0
2025-03-27 04:37:10.595029: Волк (18, 11) съел Олень на (18, 11). Голод: 0
2025-03-27 04:37:10.611030: Волк (1, 15) съел Олень на (1, 14). Голод: 0
2025-03-27 04:37:10.627026: Волк (8, 8) съел Олень на (8, 8). Голод: 0
2025-03-27 04:37:10.642246: Волк (14, 14) съел Олень на (14, 15). Голод: 0
2025-03-27 04:37:10.652243: Волк (8, 13) съел Олень на (7, 12). Голод: 0
2025-03-27 04:37:10.662243: Волк (9, 18) съел Олень на (10, 19). Голод: 0
2025-03-27 04:37:10.670243: Волк (6, 7) съел Олень на (5, 8). Голод: 0
2025-03-27 04:37:10.681244: Волк (11, 1) съел Олень на (11, 0). Голод: 0
2025-03-27 04:37:10.692243: Волк (9, 13) съел Олень на (8, 13). Голод: 0
2025-03-27 04:37:10.702245: Волк (7, 3) съел Олень на (7, 3). Голод: 0
2025-03-27 04:37:10.711249: Волк (1, 18) съел Олень на (0, 19). Голод: 0
2025-03-27 04:37:10.720243: Волк (16, 3) съел Олень на (17, 2). Голод: 0
2025-03-27 04:37:10.730243: Волк (15, 19) съел Олень на (14, 19). Голод: 0
2025-03-27 04:37:10.740243: Волк (15, 4) съел Олень на (16, 4). Голод: 0
2025-03-27 04:37:10.750242: Волк (8, 8) съел Олень на (9, 7). Голод: 0
2025-03-27 04:37:10.761243: Волк (2, 4) съел Олень на (2, 4). Голод: 0
2025-03-27 04:37:10.773243: Волк (6, 18) съел Олень на (7, 17). Голод: 0
2025-03-27 04:37:10.786243: Олень (17, 17) съел растение на (17, 17). Голод: 0
2025-03-27 04:37:10.809244: Олень (7, 3) съел растение на (6, 4). Голод: 0
2025-03-27 04:37:10.809244: Олень (18, 16) съел растение на (19, 17). Голод: 0
2025-03-27 04:37:10.818248: Олень (10, 11) съел растение на (11, 10). Голод: 0
2025-03-27 04:37:10.826331: Олень (0, 17) съел растение на (0, 16). Голод: 0
2025-03-27 04:37:10.835332: Олень (4, 9) съел растение на (4, 10). Голод: 0
2025-03-27 04:37:10.844330: Олень (16, 15) съел растение на (16, 14). Голод: 0
2025-03-27 04:37:10.855330: Олень (2, 9) съел растение на (3, 9). Голод: 0
2025-03-27 04:37:10.864333: Олень (15, 12) съел растение на (14, 12). Голод: 0
2025-03-27 04:37:10.873330: Олень (4, 3) съел растение на (3, 3). Голод: 0
2025-03-27 04:37:10.881331: Олень (8, 13) съел растение на (8, 13). Голод: 0
2025-03-27 04:37:10.891334: Олень (16, 4) съел растение на (16, 3). Голод: 0
2025-03-27 04:37:10.900329: Олень (5, 13) съел растение на (5, 13). Голод: 0
2025-03-27 04:37:10.914331: Олень (15, 8) съел растение на (16, 8). Голод: 0
2025-03-27 04:37:10.924334: Олень (11, 1) съел растение на (10, 2). Голод: 0
2025-03-27 04:37:10.933337: Олень (5, 10) съел растение на (4, 11). Голод: 0
2025-03-27 04:37:10.942372: Олень (19, 0) съел растение на (19, 0). Голод: 0
2025-03-27 04:37:10.951329: Олень (18, 0) съел растение на (19, 1). Голод: 0
2025-03-27 04:37:10.960330: Олень (7, 14) съел растение на (8, 13). Голод: 0
2025-03-27 04:37:10.969336: Олень (7, 1) съел растение на (6, 0). Голод: 0
2025-03-27 04:37:10.978330: Олень (2, 2) съел растение на (3, 3). Голод: 0
2025-03-27 04:37:10.987336: Олень (8, 1) съел растение на (8, 0). Голод: 0
2025-03-27 04:37:10.996330: Олень (14, 15) съел растение на (15, 16). Голод: 0
2025-03-27 04:37:11.005376: Олень (8, 6) съел растение на (8, 6). Голод: 0
2025-03-27 04:37:11.014335: Олень (9, 7) съел растение на (10, 8). Голод: 0
2025-03-27 04:37:11.023372: Олень (11, 12) съел растение на (10, 13). Голод: 0
2025-03-27 04:37:11.032336: Олень (19, 15) съел растение на (19, 14). Голод: 0
2025-03-27 04:37:11.041336: Олень (14, 2) съел растение на (15, 1). Голод: 0
2025-03-27 04:37:11.050335: Олень (8, 2) съел растение на (8, 3). Голод: 0
2025-03-27 04:37:11.059335: Олень (17, 14) съел растение на (16, 14). Голод: 0
2025-03-27 04:37:11.068329: Олень (16, 13) съел растение на (15, 13). Голод: 0
2025-03-27 04:37:11.077335: Олень (7, 17) съел растение на (7, 17). Голод: 0
2025-03-27 04:37:11.086330: Олень (12, 15) съел растение на (11, 16). Голод: 0
2025-03-27 04:37:11.095330: Олень (17, 6) съел растение на (16, 7). Голод: 0
2025-03-27 04:37:11.104329: Олень (8, 3) съел растение на (8, 3). Голод: 0
2025-03-27 04:37:11.112370: Олень (12, 4) съел растение на (13, 4). Голод: 0
2025-03-27 04:37:11.121372: Олень (15, 11) съел растение на (16, 11). Голод: 0
2025-03-27 04:37:11.130375: Олень (12, 5) съел растение на (11, 5). Голод: 0
2025-03-27 04:37:11.139330: Олень (10, 19) съел растение на (9, 19). Голод: 0
2025-03-27 04:37:11.148375: Олень (19, 1) съел растение на (19, 1). Голод: 0
2025-03-27 04:37:11.157330: Олень (18, 3) съел растение на (19, 4). Голод: 0
2025-03-27 04:37:11.166332: Олень (9, 5) съел растение на (10, 5). Голод: 0
2025-03-27 04:37:11.174373: Олень (16, 11) съел растение на (16, 11). Голод: 0
2025-03-27 04:37:11.183374: Олень (7, 2) съел растение на (7, 1). Голод: 0
2025-03-27 04:37:11.192375: Олень (10, 0) съел растение на (9, 0). Голод: 0
2025-03-27 04:37:11.201336: Олень (15, 2) съел растение на (15, 1). Голод: 0
2025-03-27 04:37:11.210329: Олень (15, 16) съел растение на (15, 16). Голод: 0
2025-03-27 04:37:11.219333: Олень (16, 14) съел растение на (16, 14). Голод: 0
2025-03-27 04:37:11.228331: Олень (9, 2) съел растение на (8, 3). Голод: 0
2025-03-27 04:37:11.236371: Олень (9, 0) съел растение на (9, 0). Голод: 0
2025-03-27 04:37:11.245374: Олень (19, 14) съел растение на (19, 14). Голод: 0
2025-03-27 04:37:11.254373: Олень (8, 8) съел растение на (9, 9). Голод: 0
2025-03-27 04:37:11.263336: Олень (7, 6) съел растение на (8, 6). Голод: 0
