2025-03-27 04:41:26.221377: Волк (18, 5) съел Олень на (18, 4). Голод: 0
2025-03-27 04:41:26.229376: Волк (17, 0) съел Олень на (17, 1). Голод: 0
2025-03-27 04:41:26.237377: Волк (17, 17) съел Олень на (16, 18). Голод: 0
2025-03-27 04:41:26.246378: Волк (18, 16) съел Олень на (17, 16). Голод: 0
2025-03-27 04:41:26.259423: Волк (12, 5) съел Олень на (11, 4). Голод: 0
2025-03-27 04:41:26.274401: Волк (16, 10) съел Олень на (15, 10). Голод: 0
2025-03-27 04:41:26.287381: Волк (8, 4) съел Олень на (8, 5). Голод: 0
2025-03-27 04:41:26.301380: Волк (6, 7) съел Олень на (5, 6). Голод: 0
2025-03-27 04:41:26.319381: Волк (8, 6) съел Олень на (9, 7). Голод: 0
2025-03-27 04:41:26.335377: Волк (7, 17) съел Олень на (8, 16). Голод: 0
2025-03-27 04:41:26.344378: Волк (3, 9) съел Олень на (3, 10). Голод: 0
2025-03-27 04:41:26.352378: Волк (14, 17) съел Олень на (15, 18). Голод: 0
2025-03-27 04:41:26.362379: Волк (2, 12) съел Олень на (2, 13). Голод: 0
2025-03-27 04:41:26.374376: Волк (6, 3) съел Олень на (6, 4). Голод: 0
2025-03-27 04:41:26.383376: Волк (7, 19) съел Олень на (7, 19). Голод: 0
2025-03-27 04:41:26.392382: Волк (2, 12) съел Олень на (1, 13). Голод: 0
2025-03-27 04:41:26.401377: Волк (7, 18) съел Олень на (7, 19). Голод: 0
2025-03-27 04:41:26.414381: Волк (2, 13) съел Олень на (2, 13). Голод: 0
2025-03-27 04:41:26.423432: Волк (6, 17) съел Олень на (5, 18). Голод: 0
2025-03-27 04:41:26.432408: Волк (18, 12) съел Олень на (19, 12). Голод: 0
2025-03-27 04:41:26.442378: Волк (6, 0) съел Олень на (5, 1). Голод: 0
2025-03-27 04:41:26.450382: Волк (10, 3) съел Олень на (9, 3). Голод: 0
2025-03-27 04:41:26.460387: Волк (11, 17) съел Олень на (12, 17). Голод: 0
2025-03-27 04:41:26.469380: Волк (18, 4) съел Олень на (17, 3). Голод: 0
2025-03-27 04:41:26.478381: Волк (16, 9) съел Олень на (17, 9). Голод: 0
2025-03-27 04:41:26.487376: Волк (1, 6) съел Олень на (2, 7). Голод: 0
2025-03-27 04:41:26.496377: Волк (2, 11) съел Олень на (3, 10). Голод: 0
2025-03-27 04:41:26.504418: Волк (12, 18) съел Олень на (13, 19). Голод: 0
2025-03-27 04:41:26.513377: Волк (5, 14) съел Олень на (4, 15). Голод: 0
2025-03-27 04:41:26.542374: Олень (14, 3) съел растение на (14, 3). Голод: 0
2025-03-27 04:41:26.562409: Олень (11, 18) съел растение на (12, 17). Голод: 0
2025-03-27 04:41:26.562409: Олень (4, 17) съел растение на (3, 17). Голод: 0
2025-03-27 04:41:26.571374: Олень (4, 5) съел растение на (4, 6). Голод: 0
2025-03-27 04:41:26.579370: Олень (7, 19) съел растение на (6, 19). Голод: 0
2025-03-27 04:41:26.587502: Олень (10, 14) съел растение на (9, 14). Голод: 0
2025-03-27 04:41:26.596501: Олень (8, 11) съел растение на (7, 11). Голод: 0
2025-03-27 04:41:26.604508: Олень (18, 4) съел растение на (19, 5). Голод: 0
2025-03-27 04:41:26.613508: Олень (12, 4) съел растение на (13, 3). Голод: 0
2025-03-27 04:41:26.621506: Олень (0, 5) съел растение на (1, 5). Голод: 0
2025-03-27 04:41:26.630546: Олень (12, 17) съел растение на (13, 16). Голод: 0
2025-03-27 04:41:26.639291: Олень (9, 3) съел растение на (8, 3). Голод: 0
2025-03-27 04:41:26.647346: Олень (5, 18) съел растение на (6, 17). Голод: 0
2025-03-27 04:41:26.656308: Олень (17, 17) съел растение на (16, 17). Голод: 0
2025-03-27 04:41:26.666302: Олень (2, 3) съел растение на (3, 4). Голод: 0
2025-03-27 04:41:26.675302: Олень (8, 5) съел растение на (7, 6). Голод: 0
2025-03-27 04:41:26.684350: Олень (17, 1) съел растение на (16, 1). Голод: 0
2025-03-27 04:41:26.695318: Олень (13, 14) съел растение на (12, 14). Голод: 0
2025-03-27 04:41:26.710315: Олень (2, 1) съел растение на (3, 2). Голод: 0
2025-03-27 04:41:26.732307: Олень (4, 16) съел растение на (3, 16). Голод: 0
2025-03-27 04:41:26.751310: Олень (15, 10) съел растение на (14, 9). Голод: 0
2025-03-27 04:41:26.769306: Олень (15, 0) съел растение на (16, 0). Голод: 0
2025-03-27 04:41:26.786304: Олень (9, 7) съел растение на (10, 8). Голод: 0
2025-03-27 04:41:26.803303: Олень (14, 18) съел растение на (14, 18). Голод: 0
2025-03-27 04:41:26.814304: Олень (10, 7) съел растение на (11, 6). Голод: 0
2025-03-27 04:41:26.825302: Олень (5, 1) съел растение на (5, 1). Голод: 0
