2025-03-27 16:38:36.650822: Коза (4, 9) съел растение на (3, 9). Голод: 0
2025-03-27 16:38:36.665151: Овца (9, 16) съел растение на (10, 16). Голод: 0
2025-03-27 16:38:36.677370: Кролик (1, 12) съел растение на (2, 11). Голод: 0
2025-03-27 16:38:36.691696: Мышь (2, 14) съел растение на (1, 15). Голод: 0
2025-03-27 16:38:36.703918: Лошадь (16, 14) съел растение на (17, 13). Голод: 0
2025-03-27 16:38:36.719259: Овца (11, 18) съел растение на (11, 19). Голод: 0
2025-03-27 16:38:36.740691: Кролик (6, 6) съел растение на (6, 5). Голод: 0
2025-03-27 16:38:36.763149: Мышь (19, 15) съел растение на (19, 16). Голод: 0
2025-03-27 16:38:36.785570: Медведь (15, 13) съел Мышь на (15, 14). Голод: 0
2025-03-27 16:38:36.806010: Лиса (15, 13) съел Олень на (15, 14). Голод: 0
2025-03-27 16:38:36.825352: Орел (7, 17) съел Овца на (8, 17). Голод: 0
2025-03-27 16:38:36.843778: Коза (1, 19) съел растение на (1, 18). Голод: 0
2025-03-27 16:38:36.859010: Овца (8, 17) съел растение на (7, 17). Голод: 0
2025-03-27 16:38:36.881447: Кролик (11, 3) съел растение на (12, 4). Голод: 0
2025-03-27 16:38:36.902834: Мышь (1, 12) съел растение на (2, 13). Голод: 0
2025-03-27 16:38:36.918113: Лошадь (14, 17) съел растение на (14, 18). Голод: 0
2025-03-27 16:38:36.932316: Коза (13, 10) съел растение на (13, 11). Голод: 0
2025-03-27 16:38:36.945655: Кролик (1, 14) съел растение на (1, 15). Голод: 0
2025-03-27 16:38:36.961911: Мышь (1, 5) съел растение на (2, 5). Голод: 0
2025-03-27 16:38:36.977246: Лиса (8, 3) съел Олень на (9, 4). Голод: 0
2025-03-27 16:38:36.992582: Лошадь (18, 1) съел растение на (17, 0). Голод: 0
2025-03-27 16:38:37.007927: Коза (5, 0) съел растение на (4, 0). Голод: 0
2025-03-27 16:38:37.023180: Овца (18, 10) съел растение на (18, 9). Голод: 0
2025-03-27 16:38:37.040662: Мышь (11, 11) съел растение на (10, 12). Голод: 0
2025-03-27 16:38:37.062108: Медведь (12, 9) съел Овца на (12, 8). Голод: 0
2025-03-27 16:38:37.076334: Лошадь (8, 12) съел растение на (7, 13). Голод: 0
