2025-03-27 16:12:23.398748: Олень съел растение на (15, 9). Голод: 0
2025-03-27 16:12:23.407910: Олень съел растение на (1, 3). Голод: 0
2025-03-27 16:12:23.417001: Олень съел растение на (19, 2). Голод: 0
2025-03-27 16:12:23.426161: Олень съел растение на (12, 14). Голод: 0
2025-03-27 16:12:23.434334: Олень съел растение на (16, 16). Голод: 0
2025-03-27 16:12:23.444456: Олень съел растение на (15, 11). Голод: 0
2025-03-27 16:12:23.453634: Олень съел растение на (5, 8). Голод: 0
2025-03-27 16:12:23.462854: Олень съел растение на (2, 5). Голод: 0
2025-03-27 16:12:23.475032: Олень съел растение на (16, 11). Голод: 0
2025-03-27 16:12:23.486196: Олень съел растение на (5, 1). Голод: 0
2025-03-27 16:12:23.504550: Олень съел растение на (0, 1). Голод: 0
2025-03-27 16:12:23.514743: Олень съел растение на (11, 5). Голод: 0
2025-03-27 16:12:23.527008: Олень съел растение на (6, 14). Голод: 0
2025-03-27 16:12:23.538176: Олень съел растение на (5, 11). Голод: 0
2025-03-27 16:12:23.548348: Олень съел растение на (18, 15). Голод: 0
2025-03-27 16:12:23.563514: Олень съел растение на (1, 2). Голод: 0
2025-03-27 16:12:23.575771: Олень съел растение на (15, 18). Голод: 0
2025-03-27 16:12:23.586943: Олень съел растение на (15, 19). Голод: 0
2025-03-27 16:12:23.597114: Олень съел растение на (2, 16). Голод: 0
2025-03-27 16:12:23.608293: Олень съел растение на (8, 14). Голод: 0
2025-03-27 16:12:23.618459: Олень съел растение на (6, 14). Голод: 0
2025-03-27 16:12:23.628616: Олень съел растение на (19, 16). Голод: 0
2025-03-27 16:12:23.637775: Олень съел растение на (18, 8). Голод: 0
2025-03-27 16:12:23.646937: Олень съел растение на (2, 14). Голод: 0
2025-03-27 16:12:23.656223: Олень съел растение на (11, 5). Голод: 0
2025-03-27 16:12:23.665405: Олень съел растение на (16, 4). Голод: 0
2025-03-27 16:12:23.674569: Олень съел растение на (18, 8). Голод: 0
2025-03-27 16:12:23.683753: Олень съел растение на (4, 18). Голод: 0
2025-03-27 16:12:23.692833: Олень съел растение на (8, 8). Голод: 0
2025-03-27 16:12:23.703050: Олень съел растение на (1, 17). Голод: 0
2025-03-27 16:12:23.713226: Олень съел растение на (18, 8). Голод: 0
2025-03-27 16:12:23.724475: Олень съел растение на (0, 12). Голод: 0
2025-03-27 16:12:23.737660: Олень съел растение на (15, 6). Голод: 0
2025-03-27 16:12:23.747856: Олень съел растение на (0, 10). Голод: 0
2025-03-27 16:12:23.780384: Волк съел Олень на (4, 19). Голод: 0
2025-03-27 16:12:23.781381: Волк съел Олень на (4, 19). Голод: 0
2025-03-27 16:12:23.793381: Волк съел Олень на (17, 5). Голод: 0
2025-03-27 16:12:23.809383: Волк съел Олень на (12, 18). Голод: 0
2025-03-27 16:12:23.823383: Волк съел Олень на (5, 1). Голод: 0
2025-03-27 16:12:23.833381: Волк съел Олень на (5, 1). Голод: 0
2025-03-27 16:12:23.845382: Волк съел Олень на (12, 13). Голод: 0
2025-03-27 16:12:23.864382: Волк съел Олень на (17, 5). Голод: 0
2025-03-27 16:12:23.874383: Волк съел Олень на (2, 5). Голод: 0
2025-03-27 16:12:23.884381: Волк съел Олень на (8, 16). Голод: 0
2025-03-27 16:12:23.894381: Волк съел Олень на (10, 5). Голод: 0
2025-03-27 16:12:23.904462: Волк съел Олень на (17, 10). Голод: 0
2025-03-27 16:12:23.915614: Волк съел Олень на (13, 11). Голод: 0
2025-03-27 16:12:23.926779: Волк съел Олень на (19, 13). Голод: 0
2025-03-27 16:12:23.938946: Олень съел растение на (15, 16). Голод: 0
2025-03-27 16:12:23.949095: Олень съел растение на (13, 14). Голод: 0
2025-03-27 16:12:23.960246: Олень съел растение на (13, 0). Голод: 0
2025-03-27 16:12:23.970397: Олень съел растение на (19, 8). Голод: 0
2025-03-27 16:12:23.981742: Олень съел растение на (13, 8). Голод: 0
2025-03-27 16:12:24.007105: Олень съел растение на (9, 11). Голод: 0
2025-03-27 16:12:24.033409: Олень съел растение на (5, 11). Голод: 0
2025-03-27 16:12:24.065871: Олень съел растение на (9, 7). Голод: 0
2025-03-27 16:12:24.109396: Олень съел растение на (12, 3). Голод: 0
2025-03-27 16:12:24.155928: Олень съел растение на (1, 13). Голод: 0
2025-03-27 16:12:24.189595: Олень съел растение на (1, 13). Голод: 0
2025-03-27 16:12:24.227198: Олень съел растение на (16, 10). Голод: 0
2025-03-27 16:12:24.254612: Олень съел растение на (12, 12). Голод: 0
2025-03-27 16:12:24.267788: Олень съел растение на (1, 16). Голод: 0
2025-03-27 16:12:24.280107: Олень съел растение на (6, 5). Голод: 0
2025-03-27 16:12:24.292295: Олень съел растение на (1, 16). Голод: 0
2025-03-27 16:12:24.302470: Олень съел растение на (3, 14). Голод: 0
2025-03-27 16:12:24.311665: Олень съел растение на (6, 3). Голод: 0
2025-03-27 16:12:24.322857: Олень съел растение на (13, 14). Голод: 0
2025-03-27 16:12:24.332038: Олень съел растение на (15, 13). Голод: 0
2025-03-27 16:12:24.342217: Олень съел растение на (5, 8). Голод: 0
2025-03-27 16:12:24.354389: Олень съел растение на (2, 4). Голод: 0
2025-03-27 16:12:24.366571: Олень съел растение на (9, 4). Голод: 0
2025-03-27 16:12:24.376752: Олень съел растение на (7, 16). Голод: 0
2025-03-27 16:12:24.389015: Олень съел растение на (4, 11). Голод: 0
2025-03-27 16:12:24.399188: Олень съел растение на (14, 0). Голод: 0
2025-03-27 16:12:24.413440: Олень съел растение на (1, 16). Голод: 0
2025-03-27 16:12:24.427647: Олень съел растение на (18, 16). Голод: 0
2025-03-27 16:12:24.441926: Олень съел растение на (5, 16). Голод: 0
2025-03-27 16:12:24.454202: Олень съел растение на (9, 4). Голод: 0
2025-03-27 16:12:24.468368: Олень съел растение на (16, 6). Голод: 0
2025-03-27 16:12:24.479542: Олень съел растение на (17, 8). Голод: 0
2025-03-27 16:12:24.490745: Олень съел растение на (3, 17). Голод: 0
2025-03-27 16:12:24.501921: Олень съел растение на (18, 7). Голод: 0
2025-03-27 16:12:24.517081: Олень съел растение на (0, 14). Голод: 0
2025-03-27 16:12:24.530363: Олень съел растение на (13, 6). Голод: 0
2025-03-27 16:12:24.550797: Волк съел Олень на (6, 18). Голод: 0
2025-03-27 16:12:24.558799: Волк съел Олень на (15, 1). Голод: 0
2025-03-27 16:12:24.569798: Волк съел Олень на (0, 17). Голод: 0
2025-03-27 16:12:24.579798: Волк съел Олень на (7, 3). Голод: 0
2025-03-27 16:12:24.588797: Волк съел Олень на (17, 7). Голод: 0
2025-03-27 16:12:24.598799: Волк съел Олень на (14, 7). Голод: 0
2025-03-27 16:12:24.607800: Олень съел растение на (19, 7). Голод: 0
2025-03-27 16:12:24.616798: Олень съел растение на (12, 7). Голод: 0
2025-03-27 16:12:24.626798: Олень съел растение на (3, 12). Голод: 0
2025-03-27 16:12:24.635796: Олень съел растение на (7, 7). Голод: 0
2025-03-27 16:12:24.644797: Олень съел растение на (3, 12). Голод: 0
2025-03-27 16:12:24.666798: Олень съел растение на (7, 17). Голод: 0
2025-03-27 16:12:24.687800: Олень съел растение на (4, 6). Голод: 0
2025-03-27 16:12:24.709201: Олень съел растение на (2, 14). Голод: 0
2025-03-27 16:12:24.730635: Олень съел растение на (5, 9). Голод: 0
2025-03-27 16:12:24.739901: Олень съел растение на (16, 13). Голод: 0
2025-03-27 16:12:24.750093: Олень съел растение на (6, 12). Голод: 0
2025-03-27 16:12:24.769096: Олень съел растение на (6, 15). Голод: 0
2025-03-27 16:12:24.782186: Олень съел растение на (1, 18). Голод: 0
2025-03-27 16:12:24.807377: Олень съел растение на (19, 7). Голод: 0
2025-03-27 16:12:24.822191: Олень съел растение на (15, 8). Голод: 0
2025-03-27 16:12:25.200452: Олень съел растение на (16, 8). Голод: 0
2025-03-27 16:12:25.200452: Олень съел растение на (6, 13). Голод: 0
2025-03-27 16:12:25.211698: Олень съел растение на (14, 3). Голод: 0
2025-03-27 16:12:25.221878: Волк умер от голода на (12, 4).
2025-03-27 16:12:25.230986: Волк умер от голода на (19, 2).
2025-03-27 16:12:26.204703: Волк съел Олень на (2, 14). Голод: 0
2025-03-27 16:12:26.204703: Олень съел растение на (12, 0). Голод: 0
2025-03-27 16:12:26.214852: Олень съел растение на (10, 11). Голод: 0
2025-03-27 16:12:26.228035: Олень съел растение на (6, 14). Голод: 0
2025-03-27 16:12:26.238279: Олень съел растение на (19, 18). Голод: 0
2025-03-27 16:12:26.247509: Олень съел растение на (4, 13). Голод: 0
2025-03-27 16:12:26.256695: Олень съел растение на (4, 13). Голод: 0
2025-03-27 16:12:26.266882: Волк умер от голода на (6, 1).
2025-03-27 16:12:26.276020: Волк умер от голода на (0, 13).
2025-03-27 16:12:27.191113: Олень съел растение на (12, 2). Голод: 0
2025-03-27 16:12:27.191782: Олень съел растение на (7, 13). Голод: 0
2025-03-27 16:12:28.203803: Волк съел Олень на (14, 15). Голод: 0
2025-03-27 16:12:28.204402: Олень съел растение на (7, 14). Голод: 0
2025-03-27 16:12:28.222701: Олень съел растение на (10, 8). Голод: 0
2025-03-27 16:12:28.241037: Волк умер от голода на (18, 0).
2025-03-27 16:12:28.264627: Волк умер от голода на (6, 2).
2025-03-27 16:12:28.287167: Олень умер от голода на (17, 7).
2025-03-27 16:12:28.310634: Олень умер от голода на (4, 9).
2025-03-27 16:12:29.192757: Олень съел растение на (11, 7). Голод: 0
2025-03-27 16:12:29.192757: Олень умер от голода на (9, 11).
2025-03-27 16:12:29.217077: Олень умер от голода на (0, 15).
2025-03-27 16:12:31.196288: Олень съел растение на (8, 6). Голод: 0
2025-03-27 16:12:31.196288: Олень умер от голода на (1, 18).
