2025-03-27 16:52:28.496154: Коза (9, 1) съел растение на (9, 2). Голод: 0
2025-03-27 16:52:28.504296: Овца (7, 8) съел растение на (7, 7). Голод: 0
2025-03-27 16:52:28.512545: Кролик (6, 17) съел растение на (5, 18). Голод: 0
2025-03-27 16:52:28.520667: Мышь (9, 12) съел растение на (9, 11). Голод: 0
2025-03-27 16:52:28.528934: Медведь (2, 1) съел Олень на (3, 1). Голод: 0
2025-03-27 16:52:28.537183: Лиса (8, 10) съел Кролик на (8, 9). Голод: 0
2025-03-27 16:52:28.546300: Орел (18, 9) съел Олень на (18, 8). Голод: 0
2025-03-27 16:52:28.554555: Лошадь (17, 12) съел растение на (18, 11). Голод: 0
2025-03-27 16:52:28.562671: Коза (12, 3) съел растение на (13, 4). Голод: 0
2025-03-27 16:52:28.570923: Овца (2, 10) съел растение на (3, 11). Голод: 0
2025-03-27 16:52:28.580161: Кролик (18, 3) съел растение на (18, 4). Голод: 0
2025-03-27 16:52:28.588336: Мышь (1, 13) съел растение на (0, 14). Голод: 0
2025-03-27 16:52:28.596548: Медведь (1, 1) съел Овца на (0, 0). Голод: 0
2025-03-27 16:52:28.604716: Орел (10, 8) съел Олень на (10, 7). Голод: 0
2025-03-27 16:52:28.612976: Лошадь (3, 13) съел растение на (3, 13). Голод: 0
2025-03-27 16:52:28.621166: Коза (18, 18) съел растение на (18, 18). Голод: 0
2025-03-27 16:52:28.630296: Овца (12, 7) съел растение на (13, 8). Голод: 0
2025-03-27 16:52:28.638561: Кролик (8, 3) съел растение на (9, 2). Голод: 0
2025-03-27 16:52:28.646784: Мышь (2, 11) съел растение на (2, 11). Голод: 0
2025-03-27 16:52:28.654906: Медведь (9, 10) съел Кролик на (8, 9). Голод: 0
2025-03-27 16:52:28.663158: Лиса (0, 4) съел Олень на (0, 3). Голод: 0
2025-03-27 16:52:28.673428: Орел (12, 1) съел Олень на (12, 0). Голод: 0
2025-03-27 16:52:28.686656: Лошадь (14, 7) съел растение на (14, 8). Голод: 0
2025-03-27 16:52:28.695745: Овца (6, 8) съел растение на (5, 7). Голод: 0
2025-03-27 16:52:28.710218: Медведь (16, 2) съел Кролик на (15, 2). Голод: 0
2025-03-27 16:52:28.727745: Лиса (5, 18) съел Олень на (6, 19). Голод: 0
2025-03-27 16:52:28.742399: Орел (4, 18) съел Кролик на (3, 18). Голод: 0
2025-03-27 16:52:28.761638: Овца (19, 6) съел растение на (18, 5). Голод: 0
2025-03-27 16:52:28.777017: Кролик (4, 13) съел растение на (3, 14). Голод: 0
2025-03-27 16:52:28.800986: Медведь (1, 14) съел Мышь на (1, 13). Голод: 0
2025-03-27 16:52:28.818465: Лиса (18, 18) съел Олень на (19, 19). Голод: 0
2025-03-27 16:52:28.834903: Орел (2, 17) съел Кролик на (3, 18). Голод: 0
2025-03-27 16:52:28.855568: Лошадь (8, 12) съел растение на (7, 12). Голод: 0
2025-03-27 16:52:28.872896: Кролик (10, 1) съел растение на (10, 1). Голод: 0
2025-03-27 16:52:28.886150: Мышь (19, 4) съел растение на (18, 4). Голод: 0
2025-03-27 16:52:28.895290: Лиса (11, 13) съел Коза на (11, 13). Голод: 0
2025-03-27 16:52:28.905456: Орел (6, 10) съел Овца на (7, 10). Голод: 0
2025-03-27 16:52:28.915603: Лошадь (10, 19) съел растение на (9, 19). Голод: 0
2025-03-27 16:52:28.923685: Коза (6, 8) съел растение на (5, 7). Голод: 0
2025-03-27 16:52:28.932957: Мышь (14, 12) съел растение на (15, 11). Голод: 0
2025-03-27 16:52:28.942114: Медведь (9, 9) съел Кролик на (8, 9). Голод: 0
2025-03-27 16:52:28.950198: Лиса (18, 6) съел Овца на (19, 6). Голод: 0
2025-03-27 16:52:28.958343: Орел (2, 13) съел Лошадь на (1, 12). Голод: 0
2025-03-27 16:52:28.967496: Лошадь (6, 4) съел растение на (6, 5). Голод: 0
2025-03-27 16:52:28.975589: Овца (7, 10) съел растение на (8, 10). Голод: 0
2025-03-27 16:52:28.983757: Мышь (3, 15) съел растение на (3, 15). Голод: 0
2025-03-27 16:52:28.998996: Волк переместился с (5, 4) в (4, 3). Голод: 1
2025-03-27 16:52:29.003073: Волк переместился с (9, 10) в (8, 11). Голод: 1
2025-03-27 16:52:29.011162: Волк переместился с (19, 14) в (18, 13). Голод: 1
2025-03-27 16:52:29.019317: Волк переместился с (8, 9) в (9, 9). Голод: 1
2025-03-27 16:52:29.028503: Волк переместился с (14, 7) в (13, 6). Голод: 1
2025-03-27 16:52:29.036642: Волк переместился с (17, 17) в (16, 16). Голод: 1
2025-03-27 16:52:29.044798: Волк переместился с (15, 1) в (14, 0). Голод: 1
2025-03-27 16:52:29.053929: Волк переместился с (7, 5) в (7, 4). Голод: 1
2025-03-27 16:52:29.062084: Волк переместился с (13, 0) в (12, 1). Голод: 1
2025-03-27 16:52:29.070333: Волк переместился с (17, 17) в (18, 17). Голод: 1
2025-03-27 16:52:29.078418: Волк переместился с (10, 13) в (11, 12). Голод: 1
2025-03-27 16:52:29.086667: Волк переместился с (10, 4) в (10, 3). Голод: 1
2025-03-27 16:52:29.094745: Волк переместился с (4, 5) в (5, 5). Голод: 1
2025-03-27 16:52:29.103936: Волк переместился с (19, 0) в (18, 0). Голод: 1
2025-03-27 16:52:29.112142: Волк переместился с (14, 3) в (14, 4). Голод: 1
2025-03-27 16:52:29.121275: Волк переместился с (0, 0) в (19, 0). Голод: 1
2025-03-27 16:52:29.130464: Волк переместился с (15, 10) в (14, 9). Голод: 1
2025-03-27 16:52:29.139720: Волк переместился с (3, 14) в (3, 15). Голод: 1
2025-03-27 16:52:29.148791: Волк переместился с (12, 11) в (12, 12). Голод: 1
2025-03-27 16:52:29.157996: Волк переместился с (7, 0) в (7, 19). Голод: 1
2025-03-27 16:52:29.170178: Волк переместился с (5, 12) в (5, 11). Голод: 1
2025-03-27 16:52:29.181400: Волк переместился с (6, 3) в (7, 2). Голод: 1
2025-03-27 16:52:29.192570: Волк переместился с (13, 0) в (14, 19). Голод: 1
2025-03-27 16:52:29.203720: Волк переместился с (12, 9) в (13, 9). Голод: 1
2025-03-27 16:52:29.214876: Волк переместился с (18, 11) в (17, 11). Голод: 1
2025-03-27 16:52:29.225067: Волк переместился с (17, 14) в (17, 15). Голод: 1
2025-03-27 16:52:29.234298: Волк переместился с (5, 3) в (6, 4). Голод: 1
2025-03-27 16:52:29.245452: Волк переместился с (17, 11) в (17, 10). Голод: 1
2025-03-27 16:52:29.260607: Волк переместился с (13, 16) в (13, 15). Голод: 1
2025-03-27 16:52:29.271751: Волк переместился с (4, 18) в (4, 19). Голод: 1
2025-03-27 16:52:29.282830: Волк переместился с (5, 8) в (6, 7). Голод: 1
2025-03-27 16:52:29.292983: Волк переместился с (2, 13) в (3, 13). Голод: 1
2025-03-27 16:52:29.304130: Волк переместился с (14, 17) в (13, 18). Голод: 1
2025-03-27 16:52:29.315268: Волк переместился с (6, 4) в (7, 5). Голод: 1
2025-03-27 16:52:29.325461: Волк переместился с (1, 0) в (0, 19). Голод: 1
2025-03-27 16:52:29.336946: Волк переместился с (6, 10) в (7, 9). Голод: 1
2025-03-27 16:52:29.347090: Волк переместился с (5, 2) в (6, 3). Голод: 1
2025-03-27 16:52:29.356294: Волк переместился с (12, 17) в (11, 16). Голод: 1
2025-03-27 16:52:29.365375: Волк переместился с (13, 14) в (12, 15). Голод: 1
2025-03-27 16:52:29.374532: Волк переместился с (17, 19) в (16, 19). Голод: 1
2025-03-27 16:52:29.383681: Волк переместился с (14, 0) в (14, 1). Голод: 1
